,0
791,28.568
792,42.852
793,32.139
794,35.71
795,42.852
796,39.281
797,39.281
798,42.852
799,28.568
800,35.71
801,35.71
802,28.568
803,32.139
804,42.852
805,28.568
806,35.71
807,39.281
808,28.568
809,32.139
810,32.139
811,32.139
812,35.71
813,39.281
814,32.139
815,39.281
816,32.139
817,35.71
818,39.281
819,35.71
820,42.852
821,32.139
822,32.139
823,32.139
824,28.568
825,39.281
826,39.281
827,28.568
828,42.852
829,35.71
830,35.71
831,35.71
832,28.568
833,35.71
834,42.852
835,39.281
836,28.568
837,39.281
838,28.568
839,28.568
840,42.852
841,32.139
842,35.71
843,28.568
844,42.852
845,42.852
846,28.568
847,39.281
848,28.568
849,32.139
850,42.852
851,32.139
852,32.139
853,32.139
854,28.568
855,28.568
856,42.852
857,28.568
858,35.71
859,42.852
860,32.139
861,39.281
862,32.139
863,39.281
864,28.568
865,35.71
866,42.852
867,32.139
868,35.71
869,32.139
870,28.568
871,39.281
872,28.568
873,42.852
874,28.568
875,42.852
876,35.71
877,42.852
878,39.281
879,42.852
880,32.139
881,32.139
882,42.852
883,28.568
884,35.71
885,42.852
886,42.852
887,28.568
888,42.852
889,39.281
890,42.852
891,35.71
892,42.852
893,32.139
894,42.852
895,35.71
896,42.852
897,32.139
898,39.281
899,39.281
900,32.139
901,32.139
902,28.568
903,42.852
904,42.852
905,39.281
906,39.281
907,28.568
908,42.852
909,39.281
910,35.71
911,42.852
912,39.281
913,28.568
914,32.139
915,42.852
916,35.71
917,32.139
918,35.71
919,28.568
920,42.852
921,35.71
922,35.71
923,32.139
924,39.281
925,28.568
926,42.852
927,28.568
928,42.852
929,39.281
930,35.71
931,35.71
932,28.568
933,32.139
934,28.568
935,35.71
936,32.139
937,32.139
938,35.71
939,39.281
940,35.71
941,28.568
942,35.71
943,28.568
944,35.71
945,35.71
946,28.568
947,42.852
948,35.71
949,28.568
950,28.568
951,35.71
952,35.71
953,28.568
954,42.852
955,39.281
956,35.71
957,28.568
958,28.568
959,42.852
960,39.281
961,32.139
962,28.568
963,28.568
964,32.139
965,32.139
966,32.139
967,32.139
968,35.71
969,28.568
970,39.281
971,35.71
972,32.139
973,32.139
974,35.71
975,28.568
976,32.139
977,42.852
978,42.852
979,35.71
980,39.281
981,42.852
982,39.281
983,32.139
984,42.852
985,32.139
986,28.568
987,39.281
988,42.852
989,39.281
990,28.568
991,39.281
992,32.139
993,39.281
994,28.568
995,32.139
996,42.852
997,28.568
998,32.139
999,42.852
1000,28.568
1001,28.568
1002,35.71
1003,42.852
1004,28.568
1005,39.281
1006,35.71
1007,42.852
1008,42.852
1009,32.139
1010,32.139
1011,28.568
1012,28.568
1013,32.139
1014,28.568
1015,39.281
1016,32.139
1017,32.139
1018,35.71
1019,39.281
1020,32.139
1021,42.852
1022,28.568
1023,35.71
1024,35.71
1025,35.71
1026,32.139
1027,39.281
1028,28.568
1029,28.568
1030,28.568
1031,32.139
1032,42.852
1033,42.852
1034,28.568
1035,28.568
1036,32.139
1037,39.281
1038,35.71
1039,42.852
1040,42.852
1041,42.852
1042,39.281
1043,28.568
1044,28.568
1045,42.852
1046,28.568
1047,32.139
1048,39.281
1049,28.568
1050,28.568
1051,35.71
1052,32.139
1053,32.139
1054,35.71
1055,28.568
1056,35.71
1057,35.71
1058,28.568
1059,28.568
1060,35.71
1061,42.852
1062,28.568
1063,28.568
1064,35.71
1065,28.568
1066,32.139
1067,39.281
1068,39.281
1069,35.71
1070,35.71
1071,28.568
1072,32.139
1073,28.568
1074,32.139
1075,35.71
1076,42.852
1077,39.281
