,0,1
258,16.0,550.0
259,16.5,550.0
260,17.0,550.0
261,17.5,550.0
262,18.0,550.0
263,18.5,550.0
264,19.0,550.0
265,19.5,550.0
266,20.0,550.0
267,20.5,550.0
268,21.0,550.0
269,21.5,550.0
270,22.0,550.0
271,22.5,550.0
272,23.0,550.0
273,23.5,550.0
274,24.0,550.0
275,24.5,550.0
276,25.0,550.0
277,25.5,550.0
278,26.0,550.0
279,26.5,550.0
280,27.0,550.0
281,27.5,550.0
282,28.0,550.0
283,28.5,550.0
284,29.0,550.0
285,29.5,550.0
286,30.0,550.0
287,10.0,575.0
288,10.5,575.0
289,11.0,575.0
290,11.5,575.0
291,12.0,575.0
292,12.5,575.0
293,13.0,575.0
294,13.5,575.0
295,14.0,575.0
296,14.5,575.0
297,15.0,575.0
298,15.5,575.0
299,16.0,575.0
300,16.5,575.0
301,17.0,575.0
302,17.5,575.0
303,18.0,575.0
304,18.5,575.0
305,19.0,575.0
306,19.5,575.0
307,20.0,575.0
308,20.5,575.0
309,21.0,575.0
310,21.5,575.0
311,22.0,575.0
312,22.5,575.0
313,23.0,575.0
314,23.5,575.0
315,24.0,575.0
316,24.5,575.0
317,25.0,575.0
318,25.5,575.0
319,26.0,575.0
320,26.5,575.0
321,27.0,575.0
322,27.5,575.0
323,28.0,575.0
324,28.5,575.0
325,29.0,575.0
326,29.5,575.0
327,30.0,575.0
328,10.0,600.0
329,10.5,600.0
330,11.0,600.0
331,11.5,600.0
332,12.0,600.0
333,12.5,600.0
334,13.0,600.0
335,13.5,600.0
336,14.0,600.0
337,14.5,600.0
338,15.0,600.0
339,15.5,600.0
340,16.0,600.0
341,16.5,600.0
342,17.0,600.0
343,17.5,600.0
344,18.0,600.0
345,18.5,600.0
346,19.0,600.0
347,19.5,600.0
348,20.0,600.0
349,20.5,600.0
350,21.0,600.0
351,21.5,600.0
352,22.0,600.0
353,22.5,600.0
354,23.0,600.0
355,23.5,600.0
356,24.0,600.0
357,24.5,600.0
358,25.0,600.0
359,25.5,600.0
360,26.0,600.0
361,26.5,600.0
362,27.0,600.0
363,27.5,600.0
364,28.0,600.0
365,28.5,600.0
366,29.0,600.0
367,29.5,600.0
368,30.0,600.0
369,10.0,625.0
370,10.5,625.0
371,11.0,625.0
372,11.5,625.0
373,12.0,625.0
374,12.5,625.0
375,13.0,625.0
376,13.5,625.0
377,14.0,625.0
378,14.5,625.0
379,15.0,625.0
380,15.5,625.0
381,16.0,625.0
382,16.5,625.0
383,17.0,625.0
384,17.5,625.0
385,18.0,625.0
386,18.5,625.0
387,19.0,625.0
388,19.5,625.0
389,20.0,625.0
390,20.5,625.0
391,21.0,625.0
392,21.5,625.0
393,22.0,625.0
394,22.5,625.0
395,23.0,625.0
396,23.5,625.0
397,24.0,625.0
398,24.5,625.0
399,25.0,625.0
400,25.5,625.0
401,26.0,625.0
402,26.5,625.0
403,27.0,625.0
404,27.5,625.0
405,28.0,625.0
406,28.5,625.0
407,29.0,625.0
408,29.5,625.0
409,30.0,625.0
410,10.0,650.0
411,10.5,650.0
412,11.0,650.0
413,11.5,650.0
414,12.0,650.0
415,12.5,650.0
416,13.0,650.0
417,13.5,650.0
418,14.0,650.0
419,14.5,650.0
420,15.0,650.0
421,15.5,650.0
422,16.0,650.0
423,16.5,650.0
424,17.0,650.0
425,17.5,650.0
426,18.0,650.0
427,18.5,650.0
428,19.0,650.0
429,19.5,650.0
430,20.0,650.0
431,20.5,650.0
432,21.0,650.0
433,21.5,650.0
434,22.0,650.0
435,22.5,650.0
436,23.0,650.0
437,23.5,650.0
438,24.0,650.0
439,24.5,650.0
440,25.0,650.0
441,25.5,650.0
442,26.0,650.0
443,26.5,650.0
444,27.0,650.0
445,27.5,650.0
446,28.0,650.0
447,28.5,650.0
448,29.0,650.0
449,29.5,650.0
450,30.0,650.0
451,10.0,675.0
452,10.5,675.0
453,11.0,675.0
454,11.5,675.0
455,12.0,675.0
456,12.5,675.0
457,13.0,675.0
458,13.5,675.0
459,14.0,675.0
460,14.5,675.0
461,15.0,675.0
462,15.5,675.0
463,16.0,675.0
464,16.5,675.0
465,17.0,675.0
466,17.5,675.0
467,18.0,675.0
468,18.5,675.0
469,19.0,675.0
470,19.5,675.0
471,20.0,675.0
472,20.5,675.0
473,21.0,675.0
474,21.5,675.0
475,22.0,675.0
476,22.5,675.0
477,23.0,675.0
478,23.5,675.0
479,24.0,675.0
480,24.5,675.0
481,25.0,675.0
482,25.5,675.0
483,26.0,675.0
484,26.5,675.0
485,27.0,675.0
486,27.5,675.0
487,28.0,675.0
488,28.5,675.0
489,29.0,675.0
490,29.5,675.0
491,30.0,675.0
492,10.0,700.0
493,10.5,700.0
494,11.0,700.0
495,11.5,700.0
496,12.0,700.0
497,12.5,700.0
498,13.0,700.0
499,13.5,700.0
500,14.0,700.0
501,14.5,700.0
502,15.0,700.0
503,15.5,700.0
504,16.0,700.0
505,16.5,700.0
506,17.0,700.0
507,17.5,700.0
508,18.0,700.0
509,18.5,700.0
510,19.0,700.0
511,19.5,700.0
512,20.0,700.0
513,20.5,700.0
514,21.0,700.0
515,21.5,700.0
516,22.0,700.0
517,22.5,700.0
518,23.0,700.0
519,23.5,700.0
520,24.0,700.0
521,24.5,700.0
522,25.0,700.0
523,25.5,700.0
524,26.0,700.0
525,26.5,700.0
526,27.0,700.0
527,27.5,700.0
528,28.0,700.0
529,28.5,700.0
530,29.0,700.0
531,29.5,700.0
532,30.0,700.0
533,10.0,725.0
534,10.5,725.0
535,11.0,725.0
536,11.5,725.0
537,12.0,725.0
538,12.5,725.0
539,13.0,725.0
540,13.5,725.0
541,14.0,725.0
542,14.5,725.0
543,15.0,725.0
544,15.5,725.0
545,16.0,725.0
546,16.5,725.0
547,17.0,725.0
548,17.5,725.0
549,18.0,725.0
550,18.5,725.0
551,19.0,725.0
552,19.5,725.0
553,20.0,725.0
554,20.5,725.0
555,21.0,725.0
556,21.5,725.0
557,22.0,725.0
558,22.5,725.0
559,23.0,725.0
560,23.5,725.0
561,24.0,725.0
562,24.5,725.0
563,25.0,725.0
564,25.5,725.0
565,26.0,725.0
566,26.5,725.0
567,27.0,725.0
568,27.5,725.0
569,28.0,725.0
570,28.5,725.0
571,29.0,725.0
572,29.5,725.0
573,30.0,725.0
574,10.0,750.0
575,10.5,750.0
576,11.0,750.0
577,11.5,750.0
578,12.0,750.0
579,12.5,750.0
580,13.0,750.0
581,13.5,750.0
582,14.0,750.0
583,14.5,750.0
584,15.0,750.0
585,15.5,750.0
586,16.0,750.0
587,16.5,750.0
588,17.0,750.0
589,17.5,750.0
590,18.0,750.0
591,18.5,750.0
592,19.0,750.0
593,19.5,750.0
594,20.0,750.0
595,20.5,750.0
596,21.0,750.0
597,21.5,750.0
598,22.0,750.0
599,22.5,750.0
600,23.0,750.0
601,23.5,750.0
602,24.0,750.0
603,24.5,750.0
604,25.0,750.0
605,25.5,750.0
606,26.0,750.0
607,26.5,750.0
608,27.0,750.0
609,27.5,750.0
610,28.0,750.0
611,28.5,750.0
612,29.0,750.0
613,29.5,750.0
614,30.0,750.0
615,10.0,775.0
616,10.5,775.0
617,11.0,775.0
618,11.5,775.0
619,12.0,775.0
620,12.5,775.0
621,13.0,775.0
622,13.5,775.0
623,14.0,775.0
624,14.5,775.0
625,15.0,775.0
626,15.5,775.0
627,16.0,775.0
628,16.5,775.0
